circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
91 chr12:95152811|95152993	chr12	95152811	95152993	2	1_2_0	2	0.667	exon	ENSG00000180263.13,	-	E00500:175:HHYKLCCXY:5:2118:5609:20840,E00500:175:HHYKLCCXY:5:2112:30807:42306,
92 chr12:102044105|102050291	chr12	102044105	102050291	2	2_2_0	13	0.235	exon	ENSG00000120860.10,	-	E00500:175:HHYKLCCXY:5:2120:8785:47509,E00500:175:HHYKLCCXY:5:2122:26819:23864,
93 chr12:108531204|108532334	chr12	108531204	108532334	3	0_2_2	11	0.353	exon	ENSG00000075856.11,	-	E00500:175:HHYKLCCXY:5:2108:12337:65757,E00500:175:HHYKLCCXY:5:2118:25560:9343,E00500:175:HHYKLCCXY:5:2124:27468:40846,
94 chr12:110376066|110396452	chr12	110376066	110396452	5	5_4_0	38	0.208	exon	ENSG00000196510.12,	-	E00500:175:HHYKLCCXY:5:1120:9831:19786,E00500:175:HHYKLCCXY:5:1203:12104:42640,E00500:175:HHYKLCCXY:5:2114:10328:4790,E00500:175:HHYKLCCXY:5:2211:5020:48652,E00500:175:HHYKLCCXY:5:1212:20303:68482,
95 chr12:111932586|111943369	chr12	111932586	111943369	6	3_4_2	1	0.923	exon	ENSG00000198270.12,	-	E00500:175:HHYKLCCXY:5:1102:22658:7374,E00500:175:HHYKLCCXY:5:1102:22567:7462,E00500:175:HHYKLCCXY:5:1223:10592:9994,E00500:175:HHYKLCCXY:5:2111:31649:41866,E00500:175:HHYKLCCXY:5:2219:25154:53012,E00500:175:HHYKLCCXY:5:2120:15737:30088,
96 chr12:113818103|113823321	chr12	113818103	113823321	2	1_2_1	7	0.364	exon	ENSG00000122965.10,	-	E00500:175:HHYKLCCXY:5:1220:4361:14178,E00500:175:HHYKLCCXY:5:2208:28128:26237,
97 chr12:119775786|119776842	chr12	119775786	119776842	6	0_1_2	5	0.706	exon	ENSG00000122966.15,	-	E00500:175:HHYKLCCXY:5:1213:14722:51254,E00500:175:HHYKLCCXY:5:1213:12215:55702,E00500:175:HHYKLCCXY:5:1121:27996:68306,E00500:175:HHYKLCCXY:5:1121:27965:68324,E00500:175:HHYKLCCXY:5:2222:13129:59921,E00500:175:HHYKLCCXY:5:2223:26687:47791,
98 chr12:121548877|121578946	chr12	121548877	121578946	5	1_2_0	6	0.625	exon	ENSG00000089094.18,	-	E00500:175:HHYKLCCXY:5:2103:28798:20401,E00500:175:HHYKLCCXY:5:2103:28757:20471,E00500:175:HHYKLCCXY:5:2103:28798:20471,E00500:175:HHYKLCCXY:5:1202:24596:27574,E00500:175:HHYKLCCXY:5:1206:3183:34711,
99 chr12:122877802|122879505	chr12	122877802	122879505	3	3_2_0	1	0.857	exon	ENSG00000280138.1,	-	E00500:175:HHYKLCCXY:5:2118:6228:55631,E00500:175:HHYKLCCXY:5:2214:26606:43044,E00500:175:HHYKLCCXY:5:2115:16254:56194,
100 chr12:124372022|124372610	chr12	124372022	124372610	8	4_6_0	75	0.176	exon	ENSG00000196498.13,	-	E00500:175:HHYKLCCXY:5:1203:7050:8464,E00500:175:HHYKLCCXY:5:2118:13880:48072,E00500:175:HHYKLCCXY:5:2219:2899:49760,E00500:175:HHYKLCCXY:5:2220:14154:50973,E00500:175:HHYKLCCXY:5:2222:30624:20788,E00500:175:HHYKLCCXY:5:1210:11190:17571,E00500:175:HHYKLCCXY:5:2115:13007:47158,E00500:175:HHYKLCCXY:5:2123:3163:63613,
101 chr12:128814775|128815070	chr12	128814775	128815070	129	53_56_2	14	0.949	exon	ENSG00000139370.11,	-	E00500:175:HHYKLCCXY:5:1102:26595:34834,E00500:175:HHYKLCCXY:5:1102:26595:42077,E00500:175:HHYKLCCXY:5:1102:26565:42657,E00500:175:HHYKLCCXY:5:1102:22993:62066,E00500:175:HHYKLCCXY:5:1103:4807:67375,E00500:175:HHYKLCCXY:5:1104:14072:18239,E00500:175:HHYKLCCXY:5:1105:9191:59007,E00500:175:HHYKLCCXY:5:1105:20375:64351,E00500:175:HHYKLCCXY:5:1106:20070:11470,E00500:175:HHYKLCCXY:5:1107:4868:20577,E00500:175:HHYKLCCXY:5:1107:31324:59587,E00500:175:HHYKLCCXY:5:1110:16447:33217,E00500:175:HHYKLCCXY:5:1110:17391:38649,E00500:175:HHYKLCCXY:5:1111:6177:55368,E00500:175:HHYKLCCXY:5:1113:4036:41391,E00500:175:HHYKLCCXY:5:1115:13768:4772,E00500:175:HHYKLCCXY:5:1117:14570:23600,E00500:175:HHYKLCCXY:5:1117:24444:45136,E00500:175:HHYKLCCXY:5:1118:10683:37155,E00500:175:HHYKLCCXY:5:1120:7933:3700,E00500:175:HHYKLCCXY:5:1120:26737:28822,E00500:175:HHYKLCCXY:5:1120:26920:29033,E00500:175:HHYKLCCXY:5:1120:7791:36223,E00500:175:HHYKLCCXY:5:1120:16051:42130,E00500:175:HHYKLCCXY:5:1120:3782:49109,E00500:175:HHYKLCCXY:5:1121:16275:50533,E00500:175:HHYKLCCXY:5:1122:6664:61837,E00500:175:HHYKLCCXY:5:1123:29285:23530,E00500:175:HHYKLCCXY:5:1123:22008:53926,E00500:175:HHYKLCCXY:5:1124:30990:19487,E00500:175:HHYKLCCXY:5:1203:25266:10415,E00500:175:HHYKLCCXY:5:1204:13301:17149,E00500:175:HHYKLCCXY:5:1204:25418:56422,E00500:175:HHYKLCCXY:5:1206:7162:23987,E00500:175:HHYKLCCXY:5:1206:10734:65546,E00500:175:HHYKLCCXY:5:1207:31162:42147,E00500:175:HHYKLCCXY:5:1208:23409:56915,E00500:175:HHYKLCCXY:5:1209:12773:27451,E00500:175:HHYKLCCXY:5:1209:7162:57284,E00500:175:HHYKLCCXY:5:1209:9293:67656,E00500:175:HHYKLCCXY:5:1211:20659:10591,E00500:175:HHYKLCCXY:5:1211:20923:10873,E00500:175:HHYKLCCXY:5:1211:12418:37172,E00500:175:HHYKLCCXY:5:1212:13900:43009,E00500:175:HHYKLCCXY:5:1213:13169:28382,E00500:175:HHYKLCCXY:5:1213:3214:71365,E00500:175:HHYKLCCXY:5:1219:6705:23161,E00500:175:HHYKLCCXY:5:1220:30360:45224,E00500:175:HHYKLCCXY:5:1222:15828:45118,E00500:175:HHYKLCCXY:5:1222:16224:61767,E00500:175:HHYKLCCXY:5:1224:9952:11101,E00500:175:HHYKLCCXY:5:1224:31588:38456,E00500:175:HHYKLCCXY:5:2101:30614:3893,E00500:175:HHYKLCCXY:5:2101:8400:38016,E00500:175:HHYKLCCXY:5:2102:27691:4632,E00500:175:HHYKLCCXY:5:2102:11424:13404,E00500:175:HHYKLCCXY:5:2102:11099:25499,E00500:175:HHYKLCCXY:5:2104:24342:17711,E00500:175:HHYKLCCXY:5:2104:14154:19047,E00500:175:HHYKLCCXY:5:2104:28686:64122,E00500:175:HHYKLCCXY:5:2106:21826:15918,E00500:175:HHYKLCCXY:5:2107:29244:31793,E00500:175:HHYKLCCXY:5:2107:28787:31881,E00500:175:HHYKLCCXY:5:2108:6918:18291,E00500:175:HHYKLCCXY:5:2108:14133:26607,E00500:175:HHYKLCCXY:5:2109:19542:10169,E00500:175:HHYKLCCXY:5:2110:3447:15338,E00500:175:HHYKLCCXY:5:2111:17523:55508,E00500:175:HHYKLCCXY:5:2117:4381:53346,E00500:175:HHYKLCCXY:5:2117:6989:63173,E00500:175:HHYKLCCXY:5:2119:8247:60185,E00500:175:HHYKLCCXY:5:2120:30360:43079,E00500:175:HHYKLCCXY:5:2123:17827:19223,E00500:175:HHYKLCCXY:5:2123:7283:38157,E00500:175:HHYKLCCXY:5:2123:6593:38544,E00500:175:HHYKLCCXY:5:2123:7202:38614,E00500:175:HHYKLCCXY:5:2123:5355:39352,E00500:175:HHYKLCCXY:5:2123:20070:54893,E00500:175:HHYKLCCXY:5:2205:31781:17026,E00500:175:HHYKLCCXY:5:2207:8258:14213,E00500:175:HHYKLCCXY:5:2208:5812:42604,E00500:175:HHYKLCCXY:5:2209:6745:53223,E00500:175:HHYKLCCXY:5:2210:21217:24286,E00500:175:HHYKLCCXY:5:2212:10419:35572,E00500:175:HHYKLCCXY:5:2213:24586:24216,E00500:175:HHYKLCCXY:5:2215:16143:16375,E00500:175:HHYKLCCXY:5:2218:20791:50445,E00500:175:HHYKLCCXY:5:2219:25357:30720,E00500:175:HHYKLCCXY:5:2220:6664:5546,E00500:175:HHYKLCCXY:5:2221:26951:41778,E00500:175:HHYKLCCXY:5:2221:26971:41778,E00500:175:HHYKLCCXY:5:2222:13961:29507,E00500:175:HHYKLCCXY:5:2222:21024:52643,E00500:175:HHYKLCCXY:5:2222:21014:52660,E00500:175:HHYKLCCXY:5:1102:14235:51184,E00500:175:HHYKLCCXY:5:1103:7060:37032,E00500:175:HHYKLCCXY:5:1105:5051:62698,E00500:175:HHYKLCCXY:5:1110:18010:67146,E00500:175:HHYKLCCXY:5:1111:11606:53944,E00500:175:HHYKLCCXY:5:1117:13585:9062,E00500:175:HHYKLCCXY:5:1118:20364:11875,E00500:175:HHYKLCCXY:5:1123:12236:23811,E00500:175:HHYKLCCXY:5:1124:15818:46859,E00500:175:HHYKLCCXY:5:1202:28706:67252,E00500:175:HHYKLCCXY:5:1205:2777:39844,E00500:175:HHYKLCCXY:5:1207:19410:59974,E00500:175:HHYKLCCXY:5:1210:14529:37664,E00500:175:HHYKLCCXY:5:1216:2524:63911,E00500:175:HHYKLCCXY:5:1219:31730:10363,E00500:175:HHYKLCCXY:5:1222:26352:43448,E00500:175:HHYKLCCXY:5:1222:26433:43483,E00500:175:HHYKLCCXY:5:2103:14489:14951,E00500:175:HHYKLCCXY:5:2103:31020:54700,E00500:175:HHYKLCCXY:5:2105:9343:10749,E00500:175:HHYKLCCXY:5:2105:2554:55877,E00500:175:HHYKLCCXY:5:2115:13869:57196,E00500:175:HHYKLCCXY:5:2116:17777:26132,E00500:175:HHYKLCCXY:5:2118:23581:70398,E00500:175:HHYKLCCXY:5:2205:14844:17360,E00500:175:HHYKLCCXY:5:2206:17837:17764,E00500:175:HHYKLCCXY:5:2206:25317:34025,E00500:175:HHYKLCCXY:5:2213:25083:16287,E00500:175:HHYKLCCXY:5:2214:17665:10714,E00500:175:HHYKLCCXY:5:2214:5457:55280,E00500:175:HHYKLCCXY:5:2217:29650:56510,E00500:175:HHYKLCCXY:5:2218:10602:60817,E00500:175:HHYKLCCXY:5:2218:10338:65669,E00500:175:HHYKLCCXY:5:2218:10358:65669,E00500:175:HHYKLCCXY:5:2220:32025:69344,
102 chr13:19851355|19852190	chr13	19851355	19852190	2	2_2_0	1	0.800	exon	ENSG00000132950.18,	-	E00500:175:HHYKLCCXY:5:1219:13078:49672,E00500:175:HHYKLCCXY:5:2111:31822:46876,
103 chr13:28197185|28220378	chr13	28197185	28220378	2	2_2_0	8	0.333	exon	ENSG00000152520.13,	+	E00500:175:HHYKLCCXY:5:2107:28463:3331,E00500:175:HHYKLCCXY:5:2219:7588:2504,
104 chr13:39343854|39378526	chr13	39343854	39378526	5	2_2_0	6	0.625	exon	ENSG00000183722.7,	-	E00500:175:HHYKLCCXY:5:1102:17107:71559,E00500:175:HHYKLCCXY:5:1104:18984:33955,E00500:175:HHYKLCCXY:5:1224:14894:64984,E00500:175:HHYKLCCXY:5:2205:26027:58954,E00500:175:HHYKLCCXY:5:2224:14458:64439,
105 chr13:43609883|43637010	chr13	43609883	43637010	11	2_4_8	7	0.759	intron	ENSG00000120658.13,	-	E00500:175:HHYKLCCXY:5:1216:13078:29349,E00500:175:HHYKLCCXY:5:2112:27742:17342,E00500:175:HHYKLCCXY:5:2116:2189:61749,E00500:175:HHYKLCCXY:5:2123:26463:29226,E00500:175:HHYKLCCXY:5:2208:10581:69045,E00500:175:HHYKLCCXY:5:2222:14204:53522,E00500:175:HHYKLCCXY:5:1206:20659:38649,E00500:175:HHYKLCCXY:5:2105:24109:33199,E00500:175:HHYKLCCXY:5:2202:5396:69555,E00500:175:HHYKLCCXY:5:2222:14174:53328,E00500:175:HHYKLCCXY:5:2222:14793:53381,
106 chr13:48077153|48090418	chr13	48077153	48090418	3	2_1_1	4	0.600	exon	ENSG00000136146.14,	-	E00500:175:HHYKLCCXY:5:1108:7253:48476,E00500:175:HHYKLCCXY:5:1210:25976:31406,E00500:175:HHYKLCCXY:5:2121:19004:44609,
107 chr13:52434793|52442445	chr13	52434793	52442445	4	0_3_3	18	0.308	exon	ENSG00000136100.12,	-	E00500:175:HHYKLCCXY:5:2110:16224:43765,E00500:175:HHYKLCCXY:5:2119:27022:38772,E00500:175:HHYKLCCXY:5:2122:5944:62452,E00500:175:HHYKLCCXY:5:2212:31395:27714,
108 chr13:80361601|80363216	chr13	80361601	80363216	7	4_5_2	26	0.350	intergenic_region	n/a	+	E00500:175:HHYKLCCXY:5:1102:18304:66496,E00500:175:HHYKLCCXY:5:1107:13474:41919,E00500:175:HHYKLCCXY:5:1116:3275:11171,E00500:175:HHYKLCCXY:5:1220:18507:53803,E00500:175:HHYKLCCXY:5:2222:20740:17026,E00500:175:HHYKLCCXY:5:2222:20385:17992,E00500:175:HHYKLCCXY:5:2114:14184:67340,
109 chr13:95709227|95725252	chr13	95709227	95725252	16	7_8_6	4	0.889	exon	ENSG00000102580.14,	+	E00500:175:HHYKLCCXY:5:1105:32096:55403,E00500:175:HHYKLCCXY:5:1105:30350:71401,E00500:175:HHYKLCCXY:5:1116:16630:43694,E00500:175:HHYKLCCXY:5:1208:24211:49127,E00500:175:HHYKLCCXY:5:1213:26423:16111,E00500:175:HHYKLCCXY:5:1213:12702:40864,E00500:175:HHYKLCCXY:5:2102:27448:46648,E00500:175:HHYKLCCXY:5:2103:25083:68535,E00500:175:HHYKLCCXY:5:2104:4543:51693,E00500:175:HHYKLCCXY:5:2122:24241:49215,E00500:175:HHYKLCCXY:5:2211:16741:8306,E00500:175:HHYKLCCXY:5:2213:29833:28558,E00500:175:HHYKLCCXY:5:2214:21328:40899,E00500:175:HHYKLCCXY:5:2223:4188:6038,E00500:175:HHYKLCCXY:5:2223:29954:59288,E00500:175:HHYKLCCXY:5:2210:18284:18678,
110 chr13:110635099|110635244	chr13	110635099	110635244	3	3_2_0	44	0.120	intron	ENSG00000213995.11,	+	E00500:175:HHYKLCCXY:5:2122:17533:47263,E00500:175:HHYKLCCXY:5:2122:17695:47334,E00500:175:HHYKLCCXY:5:2116:3518:9941,
111 chr14:20403377|20406400	chr14	20403377	20406400	7	3_5_2	2	0.875	exon	ENSG00000129566.12,	-	E00500:175:HHYKLCCXY:5:1105:3630:28101,E00500:175:HHYKLCCXY:5:1114:4310:43624,E00500:175:HHYKLCCXY:5:1215:2280:40143,E00500:175:HHYKLCCXY:5:1220:17533:29929,E00500:175:HHYKLCCXY:5:2110:11231:56036,E00500:175:HHYKLCCXY:5:2120:17990:62153,E00500:175:HHYKLCCXY:5:2223:14996:71383,
112 chr14:30935163|30936624	chr14	30935163	30936624	3	2_2_0	34	0.150	exon	ENSG00000196792.11,	-	E00500:175:HHYKLCCXY:5:1102:11525:6231,E00500:175:HHYKLCCXY:5:1106:27651:3190,E00500:175:HHYKLCCXY:5:2119:26737:33639,
113 chr14:35832978|35834923	chr14	35832978	35834923	4	2_0_1	2	0.800	exon	ENSG00000100916.13,	+	E00500:175:HHYKLCCXY:5:1114:26940:61556,E00500:175:HHYKLCCXY:5:2222:4016:7251,E00500:175:HHYKLCCXY:5:1116:5994:37541,E00500:175:HHYKLCCXY:5:1116:6208:38473,
114 chr14:50265358|50284033	chr14	50265358	50284033	2	2_2_0	7	0.364	exon	ENSG00000087299.11,	-	E00500:175:HHYKLCCXY:5:1116:15727:13861,E00500:175:HHYKLCCXY:5:1120:5284:48265,
115 chr14:54981540|54984860	chr14	54981540	54984860	2	2_1_0	10	0.286	exon	ENSG00000198554.11,	-	E00500:175:HHYKLCCXY:5:2201:11332:24603,E00500:175:HHYKLCCXY:5:1106:30766:9115,
116 chr14:61720379|61721823	chr14	61720379	61721823	4	4_1_3	2	0.800	exon	ENSG00000100644.16,	+	E00500:175:HHYKLCCXY:5:1113:24840:68570,E00500:175:HHYKLCCXY:5:1116:31619:55350,E00500:175:HHYKLCCXY:5:1203:26971:20577,E00500:175:HHYKLCCXY:5:1205:2422:39510,
117 chr14:69768138|69768674	chr14	69768138	69768674	2	2_1_1	38	0.095	exon	ENSG00000100650.15,	+	E00500:175:HHYKLCCXY:5:2113:7679:5546,E00500:175:HHYKLCCXY:5:2113:7567:5563,
118 chr14:73077369|73077536	chr14	73077369	73077536	2	1_2_0	13	0.235	exon	ENSG00000119707.13,	+	E00500:175:HHYKLCCXY:5:2202:2991:39194,E00500:175:HHYKLCCXY:5:2209:21694:22792,
119 chr14:76166663|76177931	chr14	76166663	76177931	2	1_1_2	25	0.138	exon	ENSG00000089916.17,	+	E00500:175:HHYKLCCXY:5:1107:9973:27345,E00500:175:HHYKLCCXY:5:2217:27488:32689,
120 chr14:88227375|88240820	chr14	88227375	88240820	5	2_2_1	10	0.500	exon	ENSG00000100433.15,	-	E00500:175:HHYKLCCXY:5:1103:8694:25200,E00500:175:HHYKLCCXY:5:1220:25844:71576,E00500:175:HHYKLCCXY:5:2218:12023:9132,E00500:175:HHYKLCCXY:5:2218:10998:9642,E00500:175:HHYKLCCXY:5:1204:5741:28628,
121 chr14:91290995|91294318	chr14	91290995	91294318	2	2_2_0	4	0.500	exon	ENSG00000015133.18,	-	E00500:175:HHYKLCCXY:5:1224:17543:52695,E00500:175:HHYKLCCXY:5:2219:18162:25007,
122 chr14:99907638|99911576	chr14	99907638	99911576	3	2_2_0	2	0.750	exon	ENSG00000066629.16,	+	E00500:175:HHYKLCCXY:5:1108:25895:26870,E00500:175:HHYKLCCXY:5:1116:22709:46419,E00500:175:HHYKLCCXY:5:1218:32025:24058,
123 chr14:100974126|100977722	chr14	100974126	100977722	8	2_8_6	145	0.099	intron	ENSG00000225746.9,	+	E00500:175:HHYKLCCXY:5:1102:13971:28435,E00500:175:HHYKLCCXY:5:1104:27113:46771,E00500:175:HHYKLCCXY:5:1107:23906:63507,E00500:175:HHYKLCCXY:5:1124:23906:45716,E00500:175:HHYKLCCXY:5:1214:31030:52326,E00500:175:HHYKLCCXY:5:1215:29244:11505,E00500:175:HHYKLCCXY:5:2113:11840:37893,E00500:175:HHYKLCCXY:5:2202:6096:25376,
124 chr14:102434235|102452627	chr14	102434235	102452627	3	1_2_0	2	0.750	exon	ENSG00000196663.15,	+	E00500:175:HHYKLCCXY:5:1214:25154:7550,E00500:175:HHYKLCCXY:5:2106:19806:52959,E00500:175:HHYKLCCXY:5:2111:3194:55368,
125 chr14:103735000|103739023	chr14	103735000	103739023	6	3_3_0	0	1	exon	ENSG00000088808.16,	-	E00500:175:HHYKLCCXY:5:1108:32573:19205,E00500:175:HHYKLCCXY:5:1217:24170:18819,E00500:175:HHYKLCCXY:5:2107:22455:37788,E00500:175:HHYKLCCXY:5:2210:29274:4421,E00500:175:HHYKLCCXY:5:2218:26991:68851,E00500:175:HHYKLCCXY:5:2218:27011:68851,
126 chr15:25405461|25421961	chr15	25405461	25421961	4	0_1_3	22	0.267	exon	ENSG00000114062.18,	-	E00500:175:HHYKLCCXY:5:2113:14905:28330,E00500:175:HHYKLCCXY:5:1116:31314:56405,E00500:175:HHYKLCCXY:5:2116:25672:6724,E00500:175:HHYKLCCXY:5:2216:15676:29103,
127 chr15:41356039|41377304	chr15	41356039	41377304	2	2_2_0	2	0.667	exon	ENSG00000137804.12,	+	E00500:175:HHYKLCCXY:5:1103:24282:52133,E00500:175:HHYKLCCXY:5:2206:27103:22528,
128 chr15:49225205|49292537	chr15	49225205	49292537	21	15_15_0	5	0.894	exon	ENSG00000156958.14,	+	E00500:175:HHYKLCCXY:5:1105:4087:20489,E00500:175:HHYKLCCXY:5:1107:24271:20084,E00500:175:HHYKLCCXY:5:1110:13707:18942,E00500:175:HHYKLCCXY:5:1114:2199:11066,E00500:175:HHYKLCCXY:5:1114:2564:11453,E00500:175:HHYKLCCXY:5:1115:10632:57178,E00500:175:HHYKLCCXY:5:1121:9861:3946,E00500:175:HHYKLCCXY:5:1201:22150:48968,E00500:175:HHYKLCCXY:5:1208:25662:62013,E00500:175:HHYKLCCXY:5:1212:17036:37366,E00500:175:HHYKLCCXY:5:1212:17127:37383,E00500:175:HHYKLCCXY:5:1213:14752:72965,E00500:175:HHYKLCCXY:5:1221:29691:18502,E00500:175:HHYKLCCXY:5:1222:3386:22792,E00500:175:HHYKLCCXY:5:2121:23074:26237,E00500:175:HHYKLCCXY:5:2121:7679:33639,E00500:175:HHYKLCCXY:5:2208:18264:63613,E00500:175:HHYKLCCXY:5:2222:31791:21403,E00500:175:HHYKLCCXY:5:1104:25834:18362,E00500:175:HHYKLCCXY:5:1203:9161:13562,E00500:175:HHYKLCCXY:5:1221:23967:21315,
129 chr15:57282445|57283407	chr15	57282445	57283407	2	2_1_0	2	0.667	intron	ENSG00000140262.17,	+	E00500:175:HHYKLCCXY:5:2201:7547:51553,E00500:175:HHYKLCCXY:5:2218:14651:69344,
130 chr15:64414085|64425631	chr15	64414085	64425631	7	3_3_0	3	0.824	exon	ENSG00000103671.9,	+	E00500:175:HHYKLCCXY:5:1123:15138:60097,E00500:175:HHYKLCCXY:5:1203:11515:20383,E00500:175:HHYKLCCXY:5:1210:15514:66338,E00500:175:HHYKLCCXY:5:1213:7141:27398,E00500:175:HHYKLCCXY:5:1222:11180:69484,E00500:175:HHYKLCCXY:5:2119:28869:2768,E00500:175:HHYKLCCXY:5:2214:13880:48705,
131 chr15:67235979|67236820	chr15	67235979	67236820	2	2_2_0	122	0.032	exon	ENSG00000103591.12,	-	E00500:175:HHYKLCCXY:5:1123:2706:64369,E00500:175:HHYKLCCXY:5:2220:14083:10556,
132 chr15:71991103|71994585	chr15	71991103	71994585	11	9_8_0	9	0.710	exon	ENSG00000066933.15,	-	E00500:175:HHYKLCCXY:5:1103:5436:65757,E00500:175:HHYKLCCXY:5:1118:26332:29349,E00500:175:HHYKLCCXY:5:1118:16366:58602,E00500:175:HHYKLCCXY:5:1205:9008:42517,E00500:175:HHYKLCCXY:5:1207:9496:53803,E00500:175:HHYKLCCXY:5:1208:14945:65986,E00500:175:HHYKLCCXY:5:2115:5122:4772,E00500:175:HHYKLCCXY:5:2214:21947:26044,E00500:175:HHYKLCCXY:5:2214:17188:55737,E00500:175:HHYKLCCXY:5:2219:21054:70311,E00500:175:HHYKLCCXY:5:1217:12489:59798,
133 chr15:74671455|74675142	chr15	74671455	74675142	48	22_27_0	14	0.873	exon	ENSG00000179151.11,	-	E00500:175:HHYKLCCXY:5:1102:17046:11857,E00500:175:HHYKLCCXY:5:1102:16843:11998,E00500:175:HHYKLCCXY:5:1102:4422:52010,E00500:175:HHYKLCCXY:5:1107:7669:3594,E00500:175:HHYKLCCXY:5:1110:19735:57583,E00500:175:HHYKLCCXY:5:1111:11677:36381,E00500:175:HHYKLCCXY:5:1112:10328:13650,E00500:175:HHYKLCCXY:5:1113:31385:16445,E00500:175:HHYKLCCXY:5:1113:28503:65599,E00500:175:HHYKLCCXY:5:1118:18254:9589,E00500:175:HHYKLCCXY:5:1118:17939:9818,E00500:175:HHYKLCCXY:5:1120:10967:44890,E00500:175:HHYKLCCXY:5:1122:3224:57635,E00500:175:HHYKLCCXY:5:1204:15341:53697,E00500:175:HHYKLCCXY:5:1206:18284:62593,E00500:175:HHYKLCCXY:5:1208:2432:4122,E00500:175:HHYKLCCXY:5:1210:15138:52854,E00500:175:HHYKLCCXY:5:1213:21328:8657,E00500:175:HHYKLCCXY:5:1213:28940:59499,E00500:175:HHYKLCCXY:5:1215:16904:51904,E00500:175:HHYKLCCXY:5:1216:5771:47843,E00500:175:HHYKLCCXY:5:1224:27783:25745,E00500:175:HHYKLCCXY:5:2101:29599:7339,E00500:175:HHYKLCCXY:5:2103:28118:4069,E00500:175:HHYKLCCXY:5:2107:17381:46120,E00500:175:HHYKLCCXY:5:2120:11160:8693,E00500:175:HHYKLCCXY:5:2201:18020:40231,E00500:175:HHYKLCCXY:5:2205:2879:4227,E00500:175:HHYKLCCXY:5:2205:30513:71576,E00500:175:HHYKLCCXY:5:2207:16163:45734,E00500:175:HHYKLCCXY:5:2212:29417:6812,E00500:175:HHYKLCCXY:5:2212:27762:13580,E00500:175:HHYKLCCXY:5:2212:14103:25358,E00500:175:HHYKLCCXY:5:2213:24170:34113,E00500:175:HHYKLCCXY:5:2214:15077:18819,E00500:175:HHYKLCCXY:5:2217:6898:10486,E00500:175:HHYKLCCXY:5:2221:5741:50181,E00500:175:HHYKLCCXY:5:1113:4279:39528,E00500:175:HHYKLCCXY:5:1115:17249:67480,E00500:175:HHYKLCCXY:5:1120:11606:72754,E00500:175:HHYKLCCXY:5:1124:29954:20542,E00500:175:HHYKLCCXY:5:1215:18710:73071,E00500:175:HHYKLCCXY:5:1216:5863:65828,E00500:175:HHYKLCCXY:5:2105:20303:38315,E00500:175:HHYKLCCXY:5:2209:18456:61943,E00500:175:HHYKLCCXY:5:2223:31050:27960,E00500:175:HHYKLCCXY:5:2224:8004:26712,E00500:175:HHYKLCCXY:5:2224:8217:28453,
134 chr15:77046776|77056255	chr15	77046776	77056255	10	6_7_0	34	0.370	exon	ENSG00000140391.14,	-	E00500:175:HHYKLCCXY:5:1114:30025:49461,E00500:175:HHYKLCCXY:5:1117:12885:36750,E00500:175:HHYKLCCXY:5:1202:15514:56493,E00500:175:HHYKLCCXY:5:1202:15382:56616,E00500:175:HHYKLCCXY:5:1203:4797:38420,E00500:175:HHYKLCCXY:5:2110:23591:34658,E00500:175:HHYKLCCXY:5:2115:31081:12894,E00500:175:HHYKLCCXY:5:1110:8856:35362,E00500:175:HHYKLCCXY:5:1204:14803:24216,E00500:175:HHYKLCCXY:5:2205:15595:51781,
135 chr15:84102031|84126600	chr15	84102031	84126600	2	2_1_0	0	1	exon	ENSG00000259404.5,	+	E00500:175:HHYKLCCXY:5:1207:16741:25569,E00500:175:HHYKLCCXY:5:1207:16457:25605,
136 chr15:90713143|90715042	chr15	90713143	90715042	3	2_2_0	0	1	exon	ENSG00000259736.1,	-	E00500:175:HHYKLCCXY:5:1110:15118:66566,E00500:175:HHYKLCCXY:5:1203:12926:48564,E00500:175:HHYKLCCXY:5:1204:15250:60220,
137 chr15:100261479|100331054	chr15	100261479	100331054	4	4_4_0	42	0.160	exon	ENSG00000140470.13,	-	E00500:175:HHYKLCCXY:5:2215:6837:22194,E00500:175:HHYKLCCXY:5:2219:2463:50656,E00500:175:HHYKLCCXY:5:2220:24068:49127,E00500:175:HHYKLCCXY:5:2224:18548:34817,
138 chr16:1200256|1208221	chr16	1200256	1208221	3	2_2_0	11	0.353	exon	ENSG00000196557.12,	+	E00500:175:HHYKLCCXY:5:2108:17330:39141,E00500:175:HHYKLCCXY:5:2119:17553:29191,E00500:175:HHYKLCCXY:5:2119:17371:29437,
139 chr16:3506331|3512478	chr16	3506331	3512478	7	2_1_2	1	0.933	exon	ENSG00000103351.12,ENSG00000263212.2,	+	E00500:175:HHYKLCCXY:5:1115:24951:52238,E00500:175:HHYKLCCXY:5:2101:28929:72139,E00500:175:HHYKLCCXY:5:2114:19339:14670,E00500:175:HHYKLCCXY:5:2114:19329:14758,E00500:175:HHYKLCCXY:5:1118:28097:44644,E00500:175:HHYKLCCXY:5:1124:14732:25253,E00500:175:HHYKLCCXY:5:1220:21866:33287,
